,Phenotype,Chromosome,Position,LOD,Max LOD
84,LOD PG_16_0,2,24.47,0.003471201,FALSE
85,LOD PG_16_0,2,24.47,0.003471201,FALSE
86,LOD PG_16_0,2,25,0.002384224,FALSE
87,LOD PG_16_0,2,25.07,0.002353257,FALSE
88,LOD PG_16_0,2,25.07,0.002353257,FALSE
89,LOD PG_16_0,2,26.28,0.001817975,FALSE
90,LOD PG_16_0,2,26.28,0.001817975,FALSE
91,LOD PG_16_0,2,26.88,0.001552546,FALSE
92,LOD PG_16_0,2,27.48,0.001287116,FALSE
93,LOD PG_16_0,2,28.08,0.001021687,FALSE
94,LOD PG_16_0,2,28.08,0.001021687,FALSE
95,LOD PG_16_0,2,28.67,0.000760682,FALSE
96,LOD PG_16_0,2,28.67,0.000760682,FALSE
97,LOD PG_16_0,2,29.28,0.000490829,FALSE
98,LOD PG_16_0,2,29.28,0.000490829,FALSE
99,LOD PG_16_0,2,30,0.000172314,FALSE
100,LOD PG_16_0,2,30.48,0.001926651,FALSE
101,LOD PG_16_0,2,30.48,0.001926651,FALSE
102,LOD PG_16_0,2,30.48,0.001926651,FALSE
103,LOD PG_16_0,2,30.48,0.001926651,FALSE
104,LOD PG_16_0,2,31.08,0.004119572,FALSE
105,LOD PG_16_0,2,32.29,0.008541964,FALSE
106,LOD PG_16_0,2,32.29,0.008541964,FALSE
107,LOD PG_16_0,2,32.29,0.008541964,FALSE
108,LOD PG_16_0,2,32.89,0.010734885,FALSE
109,LOD PG_16_0,2,33.49,0.012927807,FALSE
110,LOD PG_16_0,2,34.08,0.015084179,FALSE
111,LOD PG_16_0,2,34.08,0.015084179,FALSE
112,LOD PG_16_0,2,34.69,0.017313649,FALSE
113,LOD PG_16_0,2,35,0.018446659,FALSE
114,LOD PG_16_0,2,35.29,0.021953107,FALSE
115,LOD PG_16_0,2,35.88,0.029086916,FALSE
116,LOD PG_16_0,2,36.48,0.036341636,FALSE
117,LOD PG_16_0,2,36.48,0.036341636,FALSE
118,LOD PG_16_0,2,37.09,0.043717268,FALSE
119,LOD PG_16_0,2,38.94,0.06608599,FALSE
120,LOD PG_16_0,2,39.54,0.07334071,FALSE
121,LOD PG_16_0,2,40,0.078902663,FALSE
122,LOD PG_16_0,2,40.14,0.085202981,FALSE
123,LOD PG_16_0,2,40.73,0.11175432,FALSE
124,LOD PG_16_0,2,41.33,0.138755683,FALSE
125,LOD PG_16_0,2,42.53,0.192758408,FALSE
126,LOD PG_16_0,2,43.16,0.221109838,FALSE
127,LOD PG_16_0,2,43.16,0.221109838,FALSE
128,LOD PG_16_0,2,44.36,0.275112564,FALSE
129,LOD PG_16_0,2,44.96,0.302113926,FALSE
130,LOD PG_16_0,2,44.96,0.302113926,FALSE
131,LOD PG_16_0,2,45,0.303914017,FALSE
132,LOD PG_16_0,2,45.56,0.303259393,FALSE
133,LOD PG_16_0,2,45.56,0.303259393,FALSE
134,LOD PG_16_0,2,46.16,0.30255801,FALSE
135,LOD PG_16_0,2,46.16,0.30255801,FALSE
136,LOD PG_16_0,2,46.16,0.30255801,FALSE
137,LOD PG_16_0,2,46.76,0.301856627,FALSE
138,LOD PG_16_0,2,47.36,0.301155245,FALSE
139,LOD PG_16_0,2,47.97,0.300442172,FALSE
140,LOD PG_16_0,2,47.97,0.300442172,FALSE
141,LOD PG_16_0,2,48.57,0.299740789,FALSE
142,LOD PG_16_0,2,49.16,0.299051096,FALSE
143,LOD PG_16_0,2,50,0.29806916,FALSE
144,LOD PG_16_0,2,50.37,0.29651797,FALSE
145,LOD PG_16_0,2,50.37,0.29651797,FALSE
146,LOD PG_16_0,2,50.37,0.29651797,FALSE
147,LOD PG_16_0,2,50.37,0.29651797,FALSE
148,LOD PG_16_0,3,0,1.780870994,FALSE
149,LOD PG_16_0,3,0.6,1.670745246,FALSE
150,LOD PG_16_0,3,0.6,1.670745246,FALSE
151,LOD PG_16_0,3,1.2,1.560619497,FALSE
152,LOD PG_16_0,3,2.46,1.329355424,FALSE
153,LOD PG_16_0,3,2.46,1.329355424,FALSE
154,LOD PG_16_0,3,3.67,1.107268497,FALSE
155,LOD PG_16_0,3,4.28,0.995307319,FALSE
156,LOD PG_16_0,3,4.87,0.887017,FALSE
157,LOD PG_16_0,3,4.87,0.887017,FALSE
158,LOD PG_16_0,3,5,0.863156421,FALSE
159,LOD PG_16_0,3,5.48,0.897065675,FALSE
160,LOD PG_16_0,3,5.48,0.897065675,FALSE
161,LOD PG_16_0,3,5.48,0.897065675,FALSE
162,LOD PG_16_0,3,6.7,0.983251698,FALSE
163,LOD PG_16_0,3,7.31,1.026344709,FALSE
164,LOD PG_16_0,3,7.31,1.026344709,FALSE
165,LOD PG_16_0,3,8.53,1.112530732,FALSE
166,LOD PG_16_0,3,8.53,1.112530732,FALSE
167,LOD PG_16_0,3,8.53,1.112530732,FALSE
168,LOD PG_16_0,3,9.74,1.198010312,FALSE
169,LOD PG_16_0,3,9.74,1.198010312,FALSE
170,LOD PG_16_0,3,9.74,1.198010312,FALSE
171,LOD PG_16_0,3,10,1.216377825,FALSE
172,LOD PG_16_0,3,12.95,1.199947311,FALSE
173,LOD PG_16_0,3,12.95,1.199947311,FALSE
174,LOD PG_16_0,3,13.56,1.196549814,FALSE
175,LOD PG_16_0,3,13.56,1.196549814,FALSE
176,LOD PG_16_0,3,14.16,1.193208015,FALSE
177,LOD PG_16_0,3,14.16,1.193208015,FALSE
178,LOD PG_16_0,3,14.77,1.189810519,FALSE
179,LOD PG_16_0,3,15,1.188529496,FALSE
180,LOD PG_16_0,3,16.64,1.153933627,FALSE
181,LOD PG_16_0,3,17.24,1.141276602,FALSE
182,LOD PG_16_0,3,17.24,1.141276602,FALSE
183,LOD PG_16_0,3,18.46,1.11554065,FALSE
184,LOD PG_16_0,3,19.05,1.103094576,FALSE
185,LOD PG_16_0,3,20,1.083054286,FALSE
186,LOD PG_16_0,3,20.88,1.008479695,FALSE
187,LOD PG_16_0,3,21.48,0.957633383,FALSE
188,LOD PG_16_0,3,22.08,0.90678707,FALSE
189,LOD PG_16_0,3,23.93,0.750010942,FALSE
190,LOD PG_16_0,3,23.93,0.750010942,FALSE
191,LOD PG_16_0,3,24.53,0.69916463,FALSE
192,LOD PG_16_0,3,24.53,0.69916463,FALSE
193,LOD PG_16_0,3,25,0.659335018,FALSE
194,LOD PG_16_0,3,26.38,0.54519338,FALSE
195,LOD PG_16_0,3,26.38,0.54519338,FALSE
196,LOD PG_16_0,3,29.51,0.286306911,FALSE
197,LOD PG_16_0,3,29.51,0.286306911,FALSE
198,LOD PG_16_0,3,29.51,0.286306911,FALSE
199,LOD PG_16_0,3,29.51,0.286306911,FALSE
200,LOD PG_16_0,3,30,0.245778359,FALSE
201,LOD PG_16_0,3,30.73,0.213652195,FALSE
202,LOD PG_16_0,3,30.73,0.213652195,FALSE
203,LOD PG_16_0,3,30.73,0.213652195,FALSE
204,LOD PG_16_0,3,30.73,0.213652195,FALSE
205,LOD PG_16_0,3,31.94,0.160401977,FALSE
206,LOD PG_16_0,3,33.14,0.107591845,FALSE
207,LOD PG_16_0,3,33.74,0.081186778,FALSE
208,LOD PG_16_0,3,33.74,0.081186778,FALSE
209,LOD PG_16_0,3,33.74,0.081186778,FALSE
210,LOD PG_16_0,3,33.74,0.081186778,FALSE
211,LOD PG_16_0,3,33.74,0.081186778,FALSE
212,LOD PG_16_0,3,35,0.025736139,FALSE
213,LOD PG_16_0,3,35.59,0.044866697,FALSE
214,LOD PG_16_0,3,35.59,0.044866697,FALSE
215,LOD PG_16_0,3,36.79,0.083776307,FALSE
216,LOD PG_16_0,3,38,0.123010164,FALSE
217,LOD PG_16_0,3,38.6,0.142464969,FALSE
218,LOD PG_16_0,3,39.19,0.161595528,FALSE
219,LOD PG_16_0,3,39.19,0.161595528,FALSE
220,LOD PG_16_0,3,39.19,0.161595528,FALSE
221,LOD PG_16_0,3,39.79,0.181050333,FALSE
222,LOD PG_16_0,3,40,0.187859514,FALSE
223,LOD PG_16_0,3,40.4,0.218264411,FALSE
224,LOD PG_16_0,3,40.4,0.218264411,FALSE
225,LOD PG_16_0,3,41,0.263871756,FALSE
226,LOD PG_16_0,3,41,0.263871756,FALSE
227,LOD PG_16_0,3,45,0.567920723,FALSE
228,LOD PG_16_0,3,46.21,0.48380735,FALSE
229,LOD PG_16_0,3,48.68,0.312104844,FALSE
230,LOD PG_16_0,3,48.68,0.312104844,FALSE
231,LOD PG_16_0,3,49.29,0.269700581,FALSE
232,LOD PG_16_0,3,49.89,0.227991471,FALSE
233,LOD PG_16_0,3,50,0.2203448,FALSE
234,LOD PG_16_0,3,50.48,0.204850017,FALSE
235,LOD PG_16_0,3,50.48,0.204850017,FALSE
236,LOD PG_16_0,3,50.48,0.204850017,FALSE
237,LOD PG_16_0,3,50.48,0.204850017,FALSE
238,LOD PG_16_0,3,50.48,0.204850017,FALSE
239,LOD PG_16_0,3,50.48,0.204850017,FALSE
240,LOD PG_16_0,3,50.48,0.204850017,FALSE
241,LOD PG_16_0,3,50.48,0.204850017,FALSE
242,LOD PG_16_0,3,50.48,0.204850017,FALSE
243,LOD PG_16_0,3,50.48,0.204850017,FALSE
244,LOD PG_16_0,3,50.48,0.204850017,FALSE
245,LOD PG_16_0,3,50.48,0.204850017,FALSE
246,LOD PG_16_0,3,51.69,0.165790251,FALSE
247,LOD PG_16_0,3,51.69,0.165790251,FALSE
248,LOD PG_16_0,3,52.29,0.146421773,FALSE
249,LOD PG_16_0,3,52.29,0.146421773,FALSE
250,LOD PG_16_0,3,52.29,0.146421773,FALSE
251,LOD PG_16_0,3,52.89,0.127053294,FALSE
252,LOD PG_16_0,3,52.89,0.127053294,FALSE
253,LOD PG_16_0,3,53.5,0.107362007,FALSE
254,LOD PG_16_0,3,53.5,0.107362007,FALSE
255,LOD PG_16_0,3,53.5,0.107362007,FALSE
256,LOD PG_16_0,3,53.5,0.107362007,FALSE
257,LOD PG_16_0,3,53.5,0.107362007,FALSE
258,LOD PG_16_0,3,54.09,0.088316336,FALSE
259,LOD PG_16_0,3,54.09,0.088316336,FALSE
260,LOD PG_16_0,3,54.09,0.088316336,FALSE
261,LOD PG_16_0,3,54.09,0.088316336,FALSE
262,LOD PG_16_0,3,54.09,0.088316336,FALSE
263,LOD PG_16_0,3,54.09,0.088316336,FALSE
264,LOD PG_16_0,3,54.69,0.068947857,FALSE
265,LOD PG_16_0,3,54.69,0.068947857,FALSE
266,LOD PG_16_0,3,55,0.05894081,FALSE
267,LOD PG_16_0,3,55.3,0.055888896,FALSE
268,LOD PG_16_0,3,55.3,0.055888896,FALSE
269,LOD PG_16_0,3,55.3,0.055888896,FALSE
270,LOD PG_16_0,3,55.91,0.049683339,FALSE
271,LOD PG_16_0,3,55.91,0.049683339,FALSE
272,LOD PG_16_0,3,55.91,0.049683339,FALSE
273,LOD PG_16_0,3,55.91,0.049683339,FALSE
274,LOD PG_16_0,3,55.91,0.049683339,FALSE
275,LOD PG_16_0,3,55.91,0.049683339,FALSE
276,LOD PG_16_0,3,55.91,0.049683339,FALSE
277,LOD PG_16_0,3,55.91,0.049683339,FALSE
278,LOD PG_16_0,3,57.13,0.037272225,FALSE
279,LOD PG_16_0,3,57.13,0.037272225,FALSE
280,LOD PG_16_0,3,57.13,0.037272225,FALSE
281,LOD PG_16_0,3,57.13,0.037272225,FALSE
282,LOD PG_16_0,3,57.13,0.037272225,FALSE
283,LOD PG_16_0,3,57.13,0.037272225,FALSE
284,LOD PG_16_0,3,57.74,0.031066667,FALSE
285,LOD PG_16_0,3,57.74,0.031066667,FALSE
286,LOD PG_16_0,3,57.74,0.031066667,FALSE
287,LOD PG_16_0,3,58.96,0.018655553,FALSE
288,LOD PG_16_0,3,60,0.008075587,FALSE
289,LOD PG_16_0,3,60.18,0.008036068,FALSE
290,LOD PG_16_0,3,60.18,0.008036068,FALSE
291,LOD PG_16_0,3,60.79,0.007902144,FALSE
292,LOD PG_16_0,3,60.79,0.007902144,FALSE
293,LOD PG_16_0,3,61.4,0.007768219,FALSE
294,LOD PG_16_0,3,61.4,0.007768219,FALSE
295,LOD PG_16_0,3,62.05,0.007625513,FALSE
296,LOD PG_16_0,3,64.79,0.007023951,FALSE
297,LOD PG_16_0,3,65,0.006977846,FALSE
298,LOD PG_16_0,3,65.4,0.013252644,FALSE
299,LOD PG_16_0,3,65.99,0.02250797,FALSE
300,LOD PG_16_0,3,65.99,0.02250797,FALSE
301,LOD PG_16_0,3,65.99,0.02250797,FALSE
302,LOD PG_16_0,3,65.99,0.02250797,FALSE
303,LOD PG_16_0,3,66.59,0.031920166,FALSE
304,LOD PG_16_0,3,67.8,0.050901428,FALSE
305,LOD PG_16_0,3,68.4,0.060313625,FALSE
306,LOD PG_16_0,3,69,0.069725821,FALSE
307,LOD PG_16_0,3,69,0.069725821,FALSE
308,LOD PG_16_0,3,69.61,0.079294887,FALSE
309,LOD PG_16_0,3,70,0.085412815,FALSE
310,LOD PG_16_0,3,71.44,0.103112032,FALSE
311,LOD PG_16_0,3,72.04,0.110486705,FALSE
312,LOD PG_16_0,3,72.04,0.110486705,FALSE
313,LOD PG_16_0,3,73.24,0.125236053,FALSE
314,LOD PG_16_0,3,73.24,0.125236053,FALSE
315,LOD PG_16_0,3,73.24,0.125236053,FALSE
316,LOD PG_16_0,3,73.85,0.132733638,FALSE
317,LOD PG_16_0,3,73.85,0.132733638,FALSE
318,LOD PG_16_0,3,74.44,0.1399854,FALSE
319,LOD PG_16_0,3,74.44,0.1399854,FALSE
320,LOD PG_16_0,3,75,0.146868429,FALSE
321,LOD PG_16_0,3,75.04,0.147412375,FALSE
322,LOD PG_16_0,3,75.65,0.155707541,FALSE
323,LOD PG_16_0,3,75.65,0.155707541,FALSE
324,LOD PG_16_0,3,76.85,0.1720259,FALSE
325,LOD PG_16_0,3,76.85,0.1720259,FALSE
326,LOD PG_16_0,3,76.85,0.1720259,FALSE
327,LOD PG_16_0,3,77.45,0.180185079,FALSE
328,LOD PG_16_0,3,78.66,0.196639425,FALSE
329,LOD PG_16_0,3,79.25,0.204662618,FALSE
330,LOD PG_16_0,3,80,0.214861593,FALSE
331,LOD PG_16_0,3,80.46,0.196932591,FALSE
332,LOD PG_16_0,3,80.46,0.196932591,FALSE
333,LOD PG_16_0,3,81.71,0.14821248,FALSE
334,LOD PG_16_0,3,82.3,0.125216587,FALSE
335,LOD PG_16_0,3,82.3,0.125216587,FALSE
336,LOD PG_16_0,3,82.91,0.101441172,FALSE
337,LOD PG_16_0,3,82.91,0.101441172,FALSE
338,LOD PG_16_0,3,83.51,0.078055519,FALSE
339,LOD PG_16_0,3,84.1,0.055059626,FALSE
340,LOD PG_16_0,3,84.7,0.031673972,FALSE
341,LOD PG_16_0,3,85,0.019981146,FALSE
342,LOD PG_16_0,3,85.29,0.018826047,FALSE
343,LOD PG_16_0,3,87.12,0.011536974,FALSE
344,LOD PG_16_0,3,90,6.56E-05,FALSE
345,LOD PG_16_0,3,90.29,0.001398467,FALSE
346,LOD PG_16_0,3,91.51,0.00700551,FALSE
347,LOD PG_16_0,3,92.73,0.012612552,FALSE
348,LOD PG_16_0,3,93.34,0.015416073,FALSE
349,LOD PG_16_0,3,93.94,0.018173635,FALSE
350,LOD PG_16_0,3,94.54,0.020931197,FALSE
351,LOD PG_16_0,3,95,0.023045328,FALSE
352,LOD PG_16_0,3,95.14,0.025817346,FALSE
353,LOD PG_16_0,3,96.36,0.049973509,FALSE
354,LOD PG_16_0,3,100,0.122045992,FALSE
355,LOD PG_16_0,3,101.65,0.115844983,FALSE
356,LOD PG_16_0,3,103.48,0.1089675,FALSE
357,LOD PG_16_0,3,105,0.103255056,FALSE
358,LOD PG_16_0,3,110,0.03071362,FALSE
359,LOD PG_16_0,3,110.18,0.036983973,FALSE
360,LOD PG_16_0,3,110.78,0.057885148,FALSE
361,LOD PG_16_0,3,112.61,0.121633731,FALSE
362,LOD PG_16_0,3,114.46,0.18607902,FALSE
363,LOD PG_16_0,3,114.46,0.18607902,FALSE
364,LOD PG_16_0,3,115,0.204890078,FALSE
365,LOD PG_16_0,3,116.29,0.262083137,FALSE
366,LOD PG_16_0,3,116.89,0.28868456,FALSE
367,LOD PG_16_0,3,116.89,0.28868456,FALSE
368,LOD PG_16_0,3,116.89,0.28868456,FALSE
369,LOD PG_16_0,3,118.75,0.371148971,FALSE
370,LOD PG_16_0,3,118.75,0.371148971,FALSE
371,LOD PG_16_0,3,119.34,0.397307037,FALSE
372,LOD PG_16_0,3,120,0.426568602,FALSE
373,LOD PG_16_0,3,122.47,0.481818095,FALSE
374,LOD PG_16_0,3,123.67,0.508659955,FALSE
375,LOD PG_16_0,3,124.88,0.535725496,FALSE
376,LOD PG_16_0,3,125,0.538409682,FALSE
377,LOD PG_16_0,3,125.48,0.499975802,FALSE
378,LOD PG_16_0,3,125.48,0.499975802,FALSE
379,LOD PG_16_0,3,126.08,0.451933453,FALSE
380,LOD PG_16_0,3,128.61,0.249354879,FALSE
381,LOD PG_16_0,4,0,0.735382291,FALSE
382,LOD PG_16_0,4,0,0.735382291,FALSE
383,LOD PG_16_0,4,0.62,0.715666872,FALSE
384,LOD PG_16_0,4,0.62,0.715666872,FALSE
385,LOD PG_16_0,4,1.85,0.676554026,FALSE
386,LOD PG_16_0,4,1.85,0.676554026,FALSE
387,LOD PG_16_0,4,2.47,0.656838608,FALSE
388,LOD PG_16_0,4,2.47,0.656838608,FALSE
389,LOD PG_16_0,4,3.08,0.63744118,FALSE
390,LOD PG_16_0,4,3.08,0.63744118,FALSE
391,LOD PG_16_0,4,3.7,0.617725762,FALSE
392,LOD PG_16_0,4,4.31,0.598328334,FALSE
393,LOD PG_16_0,4,4.31,0.598328334,FALSE
394,LOD PG_16_0,4,4.31,0.598328334,FALSE
395,LOD PG_16_0,4,4.31,0.598328334,FALSE
396,LOD PG_16_0,4,4.31,0.598328334,FALSE
397,LOD PG_16_0,4,4.31,0.598328334,FALSE
398,LOD PG_16_0,4,4.92,0.578930906,FALSE
399,LOD PG_16_0,4,4.92,0.578930906,FALSE
400,LOD PG_16_0,4,5,0.576386981,FALSE
401,LOD PG_16_0,4,5.53,0.617418852,FALSE
402,LOD PG_16_0,4,6.14,0.664644212,FALSE
403,LOD PG_16_0,4,6.14,0.664644212,FALSE
404,LOD PG_16_0,4,6.14,0.664644212,FALSE
405,LOD PG_16_0,4,6.14,0.664644212,FALSE
406,LOD PG_16_0,4,6.75,0.711869573,FALSE
407,LOD PG_16_0,4,6.75,0.711869573,FALSE
408,LOD PG_16_0,4,9.38,0.915480553,FALSE
409,LOD PG_16_0,4,9.98,0.961931727,FALSE
410,LOD PG_16_0,4,10,0.9634801,FALSE
411,LOD PG_16_0,4,10.58,0.85359342,FALSE
412,LOD PG_16_0,4,14.44,0.122278623,FALSE
413,LOD PG_16_0,4,15,0.01618114,FALSE
414,LOD PG_16_0,4,15.66,0.035875585,FALSE
415,LOD PG_16_0,4,16.26,0.053779626,FALSE
416,LOD PG_16_0,4,16.86,0.071683668,FALSE
417,LOD PG_16_0,4,17.47,0.08988611,FALSE
418,LOD PG_16_0,4,17.47,0.08988611,FALSE
419,LOD PG_16_0,4,17.47,0.08988611,FALSE
420,LOD PG_16_0,4,17.47,0.08988611,FALSE
421,LOD PG_16_0,4,18.07,0.107790151,FALSE
422,LOD PG_16_0,4,19.29,0.144195035,FALSE
423,LOD PG_16_0,4,20,0.165381484,FALSE
424,LOD PG_16_0,4,21.14,0.169015234,FALSE
425,LOD PG_16_0,4,21.74,0.170927734,FALSE
426,LOD PG_16_0,4,22.35,0.172872109,FALSE
427,LOD PG_16_0,4,22.95,0.174784609,FALSE
428,LOD PG_16_0,4,22.95,0.174784609,FALSE
429,LOD PG_16_0,4,23.56,0.176728984,FALSE
430,LOD PG_16_0,4,24.17,0.178673359,FALSE
431,LOD PG_16_0,4,24.77,0.180585859,FALSE
432,LOD PG_16_0,4,24.77,0.180585859,FALSE
433,LOD PG_16_0,4,25,0.181318984,FALSE
434,LOD PG_16_0,4,25.97,0.176236151,FALSE
435,LOD PG_16_0,4,25.97,0.176236151,FALSE
436,LOD PG_16_0,4,25.97,0.176236151,FALSE
437,LOD PG_16_0,4,26.58,0.17303973,FALSE
438,LOD PG_16_0,4,26.58,0.17303973,FALSE
439,LOD PG_16_0,4,26.58,0.17303973,FALSE
440,LOD PG_16_0,4,26.58,0.17303973,FALSE
441,LOD PG_16_0,4,26.58,0.17303973,FALSE
442,LOD PG_16_0,4,26.58,0.17303973,FALSE
443,LOD PG_16_0,4,26.58,0.17303973,FALSE
444,LOD PG_16_0,4,26.58,0.17303973,FALSE
445,LOD PG_16_0,4,26.58,0.17303973,FALSE
446,LOD PG_16_0,4,26.58,0.17303973,FALSE
447,LOD PG_16_0,4,27.19,0.16984331,FALSE
448,LOD PG_16_0,4,27.19,0.16984331,FALSE
449,LOD PG_16_0,4,27.19,0.16984331,FALSE
450,LOD PG_16_0,4,27.19,0.16984331,FALSE
451,LOD PG_16_0,4,28.41,0.163450468,FALSE
452,LOD PG_16_0,4,28.41,0.163450468,FALSE
453,LOD PG_16_0,4,28.41,0.163450468,FALSE
454,LOD PG_16_0,4,29.01,0.160306447,FALSE
455,LOD PG_16_0,4,29.01,0.160306447,FALSE
456,LOD PG_16_0,4,30,0.155118814,FALSE
457,LOD PG_16_0,4,31.48,0.112494005,FALSE
458,LOD PG_16_0,4,31.48,0.112494005,FALSE
459,LOD PG_16_0,4,32.08,0.095213677,FALSE
460,LOD PG_16_0,4,32.68,0.077933349,FALSE
461,LOD PG_16_0,4,33.27,0.060941026,FALSE
462,LOD PG_16_0,4,33.87,0.043660698,FALSE
463,LOD PG_16_0,4,34.47,0.02638037,FALSE
464,LOD PG_16_0,4,34.47,0.02638037,FALSE
465,LOD PG_16_0,4,35,0.011116081,FALSE
466,LOD PG_16_0,4,35.07,0.011828311,FALSE
467,LOD PG_16_0,4,37.54,0.036959855,FALSE
468,LOD PG_16_0,4,37.54,0.036959855,FALSE
469,LOD PG_16_0,4,38.16,0.043268178,FALSE
470,LOD PG_16_0,4,38.76,0.049373006,FALSE
471,LOD PG_16_0,4,38.76,0.049373006,FALSE
472,LOD PG_16_0,4,39.38,0.055681329,FALSE
473,LOD PG_16_0,4,39.38,0.055681329,FALSE
474,LOD PG_16_0,4,39.38,0.055681329,FALSE
475,LOD PG_16_0,4,39.98,0.061786158,FALSE
476,LOD PG_16_0,4,39.98,0.061786158,FALSE
477,LOD PG_16_0,4,39.98,0.061786158,FALSE
478,LOD PG_16_0,4,40,0.061989652,FALSE
479,LOD PG_16_0,4,40.57,0.05633942,FALSE
480,LOD PG_16_0,4,40.57,0.05633942,FALSE
481,LOD PG_16_0,4,41.18,0.05029268,FALSE
482,LOD PG_16_0,4,41.78,0.044345066,FALSE
483,LOD PG_16_0,4,42.38,0.038397453,FALSE
484,LOD PG_16_0,4,44.88,0.013615732,FALSE
485,LOD PG_16_0,4,45,0.012426209,FALSE
